COMMUNE,fid,Longitude,Latitude,AIRE_KM2,PC_AGL2010,PLUV_MIN,PLUV_MAX,ALT_MIN,ALT_MAX,POPES2021,Log_Popes2021,DANSI2021,Log_dansi2021,PC_POV,Elvaj_Venal,Log_Elvaj_Venal,Venal_tet,log_Venal_tet,PC_3kmSant,PC_3kmLekol,Log_PC_3kmLekol,Pente_Moy,Lapli_mm,Log_Lapli,LANME,FWONTYE,Risk_Ewo,Dans_wout,log_Dans_wout,km.res$cluster,cluster
Mole Saint Nicolas,155,-73.30691738666667,19.776859729999998,77.24026666666667,40.666666666666664,1.6666666666666667,3,113.33333333333333,626.6666666666666,10267.666666666666,3.84,174.33333333333334,2.09,68,627101.6666666666,5.696666666666666,88.10999999999999,1.8633333333333333,38.666666666666664,14.666666666666666,0.53,12.280000000000001,851.3333333333334,2.9136271203333335,0.3333333333333333,0,29,0.2886666666666667,-0.6574,3.6666666666666665,3.6666666666666665
Mombin Crochu,74,-71.90698302499999,19.338836065,100.27180000000001,20,4,5,435,1135,19806,4.285,203,2.3049999999999997,55,584244.5,5.77,31.375,1.48,84,2.5,0.39,19.87,2161,3.3346540229999997,0,0,64,0.377,-0.4361,3,3
Mont Organisé,184.5,-71.789901445,19.391235690000002,51.2045,34.5,4,5,270,1040,12558,4.045,232,2.3449999999999998,62,662783,5.82,63.95,1.775,47.5,5,0.7,17.080000000000002,2371.5,3.3749917655,0,0.5,46.5,0.2615,-0.5849500000000001,2,2
Moron,139.66666666666666,-74.26967000333333,18.4995714,60.33436666666667,33,4.333333333333333,6.666666666666667,46.666666666666664,976.6666666666666,10096.333333333334,3.97,272,2.28,68.66666666666667,1150294,6.016666666666667,161.44333333333333,2.043333333333333,48.333333333333336,7.333333333333333,0.35,29.953333333333333,2814,3.4468615186666667,0,0,90.66666666666667,0.24233333333333332,-1.9464333333333332,3.3333333333333335,3.3333333333333335
Ouanaminthe,303,-71.774429886,19.492190586,40.64434,59.8,3,4.2,58,512,24255,4.094,481.8,2.5100000000000002,60.6,566519.4,5.694,54.058,1.598,19.6,0.6,-0.704,9.56,1433.4,3.1529663396,0,0.2,18.6,0.8296,-0.20888,3,3
Paillant,54.5,-73.166036745,18.41388758,32.9683,54,3,4,155,945,10859,4.03,327.5,2.515,55.5,404801.5,5.595000000000001,40.28,1.565,12.5,0,-1,18.09,1560.5,3.1928571045,0,0,64,0.706,-0.15134999999999998,4,4
Perches,32.5,-71.933527945,19.515432904999997,20.1991,47.5,3.5,5,80,1025,5763,3.705,268.5,2.4050000000000002,67,173517.5,5.234999999999999,36.58,1.53,9.5,0,-1,17.84,1820,3.259028121,0,0,40,0.4255,-0.40015,3.5,3.5
Pestel,226.33333333333334,-73.81290212333333,18.50220059,49.06195,30.5,3.5,4.833333333333333,121.66666666666667,780,7907.833333333333,3.85,164.66666666666666,2.205,62,802884.8333333334,5.891666666666667,128.09,2.04,39.333333333333336,0.5,-0.7533333333333333,19.736666666666665,1848,3.2491873613333335,0.5,0,48.166666666666664,0.23249999999999998,-0.9331833333333333,3.1666666666666665,3.1666666666666665
Petit Trou de Nippes,80,-73.49365632,18.462711963333334,51.921,26.666666666666668,3,4,50,700,9482,3.9766666666666666,186,2.263333333333333,61.333333333333336,704643.3333333334,5.836666666666667,75.87666666666667,1.8599999999999999,77.66666666666667,0,-1,20.523333333333333,1358.6666666666667,3.1287099666666665,0.6666666666666666,0,52.666666666666664,0.29833333333333334,-0.5331666666666667,3.3333333333333335,3.3333333333333335
Petit-Goâve,315.1666666666667,-72.92471761583333,18.371906294166667,31.5646,52.25,3.4166666666666665,4.666666666666667,151.66666666666666,1008.3333333333334,17416.083333333332,4.150833333333333,519,2.6891666666666665,57.833333333333336,649854.1666666666,5.7375,45.68666666666667,1.5866666666666667,37.416666666666664,0.6666666666666666,-0.8416666666666667,26.194166666666668,1764.1666666666667,3.2340107454166667,0.3333333333333333,0,84.75,0.27575,-1.1511166666666666,3.4166666666666665,3.4166666666666665
Petite Rivière de L'Artibonit,503.5,-72.39727532,19.093971035000003,84.45866666666667,40.333333333333336,3.3333333333333335,4.333333333333333,56.666666666666664,870,22777.833333333332,4.226666666666667,340,2.355,55.666666666666664,926529.8333333334,5.928333333333333,63.964999999999996,1.7016666666666667,41.333333333333336,27.166666666666668,1.0016666666666667,16.668333333333333,1773.6666666666667,3.2377043623333335,0,0,51.166666666666664,1.3248333333333333,-0.3774666666666666,3.1666666666666665,3.1666666666666665
Petite Rivière de Nippes,512.75,-73.20455776,18.4550988025,22.3166,35.75,3,4,0,720,4568.75,3.6475,214.25,2.3049999999999997,62.5,488869,5.672499999999999,108.945,2.0275,30.75,7.5,0.060000000000000026,20.4625,1303.75,3.11390704525,1,0,60,0.314,-0.55875,3.5,3.5
Pignon,348.5,-72.104762815,19.32733894,72.10095,49.5,2,4,260,715,26585,4.42,380.5,2.5700000000000003,53,663117,5.82,24.855,1.395,58.5,0.5,-0.5,9.2,1127,3.0516221244999997,0,0,30,1.144,0.05585,4,4
Pilate,480.75,-72.55243884125,19.6943936,16.9534125,19.125,4,4.75,277.5,978.75,4934.75,3.57375,284.125,2.37875,63.75,177300,5.1325,37.52125,1.5587499999999999,75.125,4.625,-0.27125,26.23625,2013.125,3.300252777125,0,0,94.125,0.23775,-1.3726375,3.125,3.125
Plaine du Nord,10,-72.26295992749999,19.6640892975,25.17315,86.5,4,4.25,15,380,11379,3.9025,403.75,2.5925000000000002,56.75,353547.5,5.45,37.962500000000006,1.55,9.75,0,-1,9.5625,1744.5,3.24126058775,0.25,0,25.75,0.843,-0.081625,4,4
Plaisance,45,-72.4785314625,19.60132267375,15.234675,52,4,4.25,345,926.25,5792.5,3.57625,386.125,2.41,61.25,214992,5.31375,151.89124999999999,1.7375,60.875,0,-1,20.3675,1800.625,3.2533175305,0,0,79.625,0.40825,-0.7265375000000001,3.25,3.25
